Module;Item;ItemType;Property;en-US;fr;nl;ko-KR;it;es;zh-CN;pt;de;en
TFMAIN;FMain.AdvPanelBrowse.AdvPagePreview.PnlRegion.PnlRegionData.EdRegionDescription;TLabeledEdit;EditLabel.Caption;Description;Description;Omschrijving;;Descrizione;Descripción;说明;Descrição;Beschreibung;
TFMAIN;FMain.AdvPanelBrowse.AdvPagePreview.PnlRegion.PnlRegionData.EdRegionName;TLabeledEdit;EditLabel.Caption;Name;Nom;Naam;;Nome;Nombre;名称;Nome;Name;
TFMAIN;FMain.AdvPanelBrowse.AdvPagePreview.PnlRegion.PnlRegionData.LblRegionType;TLabel;Caption;Type;Type;Type;;Tipo;Tipo;类型;Tipo;Typ;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[0];TActionManager;Caption;&Program;&Programme;&Programma;;&Programma;&Programa;程序;&Programa;&Programm;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[0].Items[0];TActionManager;Caption;&Preferences...;Préférences...;&Voorkeuren..;;&Preferenze...;&Preferencias...;首选项...;&Preferências...;&Einstellungen...;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[0].Items[1];TActionManager;Caption;"&Workspace manager...";"&Gestionnaire d'espace de travail...";"&Werkruimte beheer...";;"&Gestore dello spazio di lavoro...";"&Administrador del espacio de trabajo...";工作区管理器...;"&Gerenciador de espaço de trabalho...";&Arbeitsbereich-Manager...;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[0].Items[3];TActionManager;Caption;"&Import settings";"Importer paramètres";"Instellingen importeren";;"Importare impostazioni";"Importar ajustes";导入设置;"&Importar configurações";"Einstellungen importieren";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[0].Items[4];TActionManager;Caption;"E&xport settings";"Exporter paramètres";"Instellingen exporteren";;"Esportare impostazioni";"E&xportar ajustes";导出设置;"Exportar configurações";"Einstellungen e&xportieren";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[0].Items[6];TActionManager;Caption;&Style...;&Style...;" &Stijl...";;" &Stile...";" &Estilo...";样式...;" &Estilo...";" &Stil...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[0].Items[8];TActionManager;Caption;&Exit;&Quitter;&Verlaten;;&Esci;&Salir;退出;&Sair;&Beenden;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1];TActionManager;Caption;&Options;&Options;&Opties;;&Opzioni;&Opciones;选项;&Opções;&Optionen;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[0];TActionManager;Caption;"&Don't make backup files";"&Ne pas faire de fichiers de sauvegarde";"&Maak geen reserviekopieën";;"Non creare file di backup";"&No hacer copia de seguridad";不创建备份文件;"&Não criar arquivos de backup";"&Keine Sicherungsdateien erstellen";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[1];TActionManager;Caption;"&Preserve Date modified of files";"&Conserver la date de modification des fichiers";"&Behoud Wijzigingsdatum van bestanden";;"Conserva la data di modifica dei file";"&Preservar la fecha de modificación de los archivos";保留文件修改日期;"&Preservar data de modificação dos arquivos";"Änderungsdatum der Dateien beibehalten";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[10];TActionManager;Caption;"P&refix tag names with ID number";"P&refixer les noms des etiquettes avec le numéro d'identification";"&Zet het ID voor labelnamen";;"P&rifiuta i nomi dei tag con il numero ID";"P&refijar nombres de etiquetas con número ID";"在标签名称前面添加 ID 号";"P&refixar nomes de tags com número de ID";"P&refix Tag-Namen mit ID-Nummer";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[11];TActionManager;Caption;"&Group tags by instance (-g4)";"&Grouper les tags par instance (-g4)";"&Groepeer labels op instantie (-g4)";;"Raggruppa i tag per istanza (-g4)";"&Agrupar etiquetas por instancia (-g4)";按实例对标签进行分组(-g4);"&Grupo de tags por instância (-g4)";"Tags nach Instanz gruppieren (-g4)";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[13];TActionManager;Caption;"&API WindowsWideFile (Requires Exiftool V12.66)";"&API WindowsWideFile (Requiert Exiftool V12.66)";"&API WindowsWideFile (Vereist Exiftool V12.66)";;"&API WindowsWideFile (richiede Exiftool V12.66)";"&API WindowsWideFile (Requiere Exiftool V12.66)";"API WindowsWideFile（需要 Exiftool V12.66）";"API WindowsWideFile (Requer Exiftool V12.66)";"&API WindowsWideFile (Erfordert Exiftool V12.66)";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[14];TActionManager;Caption;"API WindowsLongPa&th (Requires Exiftool V13.03)";"API WindowsLongPath (Requiert Exiftool V13.03)";"API WindowsLongPath (Vereist Exiftool V13.03)";;"API WindowsLongPath (Richiede Exiftool V13.03)";"API WindowsLongPath (Requiere Exiftool V13.03)";"API WindowsLongPath（需要 Exiftool V13.03）";"API WindowsLongPath (Requer Exiftool V13.03)";"API WindowsLongPath (Erfordert Exiftool V13.03)";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[15];TActionManager;Caption;"API &LargeFileSupport (Requires Exiftool V12.88)";"API LargeFileSupport (Requiert Exiftool V12.88)";"API LargeFileSupport (Vereist Exiftool V12.88)";;"API LargeFileSupport (Richiede Exiftool V12.88)";"API LargeFileSupport (Requiere Exiftool V12.88)";"API LargeFileSupport（需要 Exiftool V12.88）";"API LargeFileSupport (Requer Exiftool V12.88)";"API LargeFileSupport (Erfordert Exiftool V12.88)";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[17];TActionManager;Caption;"&Custom options";"Options personnalisées";"&Maatwerk opties";;"Opzioni personalizzate";"&Opciones personalizadas";&自定义选项;"&Opções personalizadas";"&Benutzerdefinierte optionen";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[2];TActionManager;Caption;"&Ignore minor errors in metadata";"Ignorer les erreurs mineures dans les métadonnées";"&Negeer kleine fouten in metadata";;"Ignora errori minori nei metadati";"&Ignorar errores menores en metadatos";忽略元数据中的小错误;"&Ignorar erros menores nos metadados";"&Kleinere Fehler in Metadaten ignorieren";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[4];TActionManager;Caption;"&Show Exif:GPS in decimal notation";"&Afficher Exif:GPS en notation décimale";"T&oon Exif:GPS in decimale notatie";;"Mostra Exif:GPS in notazione decimale";"&Mostrar Exif:GPS en notación decimal";"以十进制显示 Exif:GPS";"&Mostrar Exif:GPS em notação decimal";"&Anzeigen Exif:GPS in Dezimalschreibweise";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[5];TActionManager;Caption;"S&how sorted tags (not in Workspace)";"Afficher les tags triés (pas dans l'espace de travail)";"&Toon labels gesorteerd (niet in Werkruimte)";;"Mostra i tag ordinati (non nell'area di lavoro)";"Mostrar etiquetas ordenadas (no en el área de trabajo)";显示标签排序方式（不在工作区中）;"S&how sorted tags (não no Workspace)";"Anzeige sortierter Tags (nicht im Arbeitsbereich)";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[6];TActionManager;Caption;"Sh&ow Composite tags in view ALL";"&Afficher les etiquettes composées dans la vue ALL";"Toon &Composiete labels in ALLE";;"Mostra i tag composti nella vista TUTTO";"Mostrar etiquetas compuestas en la vista TODO";在视图中显示复合标签全部;"Mostrar tags compostas na visualização ALL";"Zusammengesetzte Tags in der Ansicht ALL anzeigen";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[7];TActionManager;Caption;"Do&n't show duplicated tags";"Ne pas afficher les etiquettes dupliquées";"Toon &geen dubbele labels";;"Non mostrare i tag duplicati";"No mostrar etiquetas duplicadas";不显示重复的标签;"Não mostrar tags duplicadas";"Kei&ne duplizierten tags anzeigen";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[1].Items[9];TActionManager;Caption;"Sho&w tag values as numbers";"&Afficher les valeurs des etiquettes sous forme de nombres";"&Toon label waarden als getallen";;"Mostra i valori dei tag come numeri";"Mostrar valores de etiquetas como números";以数字形式显示标签值;"Mostrar valores de tags como números";"Tag-Werte als Zahlen anzeigen";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2];TActionManager;Caption;&Export/Import;Exportation/Importation;&Export/Import;;Esportazione/Importazione;&Exportar/Importar;导出/导入;&Exportar/Importar;&Export/Import;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[0];TActionManager;Caption;"&Export metadata into";"&Exporter les métadonnées dans";"&Exporteer metadata naar";;"Esportare i metadati in";"&Exportar metadatos a";导出元数据到;"&Exportar metadados em arquivos";"&Metadaten exportieren in";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[0].Items[0];TActionManager;Caption;"&TXT files";"Fichiers &TXT";"&TXT bestanden";;"file &TXT";"Archivos &TXT";"&TXT 文件";"arquivos &TXT";&TXT-Dateien;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[0].Items[1];TActionManager;Caption;"&MIE files";"Fichiers MIE";"&MIE bestanden";;"file &MIE";"Archivos &MIE";"&MIE 文件";"arquivos &MIE";&MIE-Dateien;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[0].Items[2];TActionManager;Caption;"&XMP files";"Fichiers XMP";"&XMP bestanden";;"File &XMP";"&Ficheros XMP";"&XMP 文件";"arquivos &XMP";&XMP-Dateien;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[0].Items[3];TActionManager;Caption;"&EXIF files";"Fichiers EXIF";"&EXIF bestanden";;"File &EXIF";"Archivos EXIF";"&EXIF 文件";"arquivos &EXIF";&EXIF-Dateien;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[0].Items[4];TActionManager;Caption;"&HTML files";"Fichiers HTML";"&HTML bestanden";;"File HTML";"&Archivos HTML";"&HTML 文件";"&Arquivos HTML";&HTML-Dateien;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[1];TActionManager;Caption;"&Copy metadata from single file...";"Copier les métadonnées d'un seul fichier...";"Kopieer metadata van enkel bestand...";;"Copia dei metadati da un singolo file...";"Copiar metadatos de un solo archivo...";从单个文件复制元数据...;"Copiar metadados de um único arquivo...";"Metadaten aus einer einzelnen Datei kopieren...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[2];TActionManager;Caption;"C&opy metadata into JPG or TIF files...";"Copier les métadonnées dans les fichiers JPG ou TIF...";"K&opieer metadata naar JPG of TIF bestanden...";;"Copia dei metadati in file JPG o TIF...";"Copiar metadatos en archivos JPG o TIF...";"元数据复制到 JPG 或 TIF 文件中...";"C&copiar metadados em arquivos JPG ou TIF...";"K&opieren Sie Metadaten in JPG- oder TIF-Dateien...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[3];TActionManager;Caption;"Co&py metadata into all JPG or TIF files...";"Copier les métadonnées dans tous les fichiers JPG ou TIF...";"Ko&pieer metadata naar alle JPG or TIF bestanden...";;"Copia dei metadati in tutti i file JPG o TIF...";"Copiar metadatos en todos los archivos JPG o TIF...";"&元数据复制到所有 JPG 或 TIF 文件中...";"Copiar metadados em todos os arquivos JPG ou TIF...";"Kopieren Sie Metadaten in alle JPG- oder TIF-Dateien...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[4];TActionManager;Caption;"&Import GPS data from";"&Importer des données GPS à partir de";"&Importeer GPS data van";;"Importazione di dati GPS da";"&Importar datos GPS desde";"&从以下位置导入 GPS 数据";"&Importar dados de GPS de";"&GPS-Daten importieren von";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[4].Items[0];TActionManager;Caption;"&Log files...";"Fichiers log...";"&Log bestanden...";;"File di log...";"&Archivos log...";日志文件...;"arquivos &Log...";"&Log Dateien...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[4].Items[1];TActionManager;Caption;"&Xmp files...";"&Fichiers Xmp...";"&Xmp bestanden...";;"file &Xmp...";"&Archivos Xmp...";"&Xmp 文件...";"arquivos &Xmp...";&Xmp-dateien...;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[6];TActionManager;Caption;"&Generic extract previews...";"Prévisualisations d'extraits génériques...";"&Generieke extract previews...";;"Anteprime di estrazione generiche...";"&Vista previa de extracción genérica...";&通用摘录预览...;"Pré-visualização de extração genérica...";"&Generische Extraktvorschauen...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[2].Items[7];TActionManager;Caption;"Ge&neric import preview...";"Aperçu de l'importation générique...";"Ge&nerieke import preview...";;"Anteprima di importazione generica...";"&Vista previa de importación genérica...";&通用导入预览...;"Visualização de importação geográfica...";"Ge&nerische Importvorschau...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[3];TActionManager;Caption;&Modify;&Modifier;&Wijzig;;&Modificare;&Modificar;修改;&Modificar;&Ändern;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[3].Items[0];TActionManager;Caption;"&Exif/Xmp: DateTime shift...";"Exif/Xmp: DateTime déplacement...";"Exif/Xmp: DateTime verschuiven...";;"Exif/Xmp: DateTime spostamento...";"Exif/Xmp: DateTime desplazamiento...";"Exif/Xmp: DateTime 移動...";"Exif/Xmp: DateTime mudança...";"Exif/Xmp: DateTime verschieben...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[3].Items[1];TActionManager;Caption;"E&xif/Xmp: DateTime equalize...";"Exif/Xmp: DateTime égalisation...";"Exif/Xmp: DateTime gelijkmaken...";;"Exif/Xmp: DateTime equalizzazione...";"Exif/Xmp: DateTime ecualización...";"Exif/Xmp: DateTime 均衡...";"Exif/Xmp: DateTime equalização...";"Exif/Xmp: DateTime abgleichen...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[3].Items[2];TActionManager;Caption;"Ex&if: LensInfo from Makernotes...";"Ex&if : LensInfo de Makernotes...";"Ex&if: LensInfo van Makernotes...";;"Ex&if: LensInfo da Makernotes...";"Ex&if: LensInfo de Makernotes...";"Ex&if：来自 Makernotes 的 LensInfo...";"Ex&if: LensInfo da Makernotes...";"Ex&if: LensInfo von Makernotes...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[3].Items[4];TActionManager;Caption;"&Remove metadata...";"&Supprimer les métadonnées...";"&Verwijder metadata...";;"&Rimuovi metadati...";"&Eliminar metadatos...";移除元数据...;"&Remover metadados...";"&Metadaten entfernen...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[3].Items[6];TActionManager;Caption;"&Update City, Province, Country from GPS coordinates...";"&Mettre à jour la ville, la province, le pays à partir des coordonnées GPS...";"&Werk Plaats, Provincie, Land bij o.b.v. GPS coördinaten...";;"Aggiornamento di Città, Provincia, Paese dalle coordinate GPS...";"&Actualizar Ciudad, Provincia, País desde coordenadas GPS...";"&从 GPS 坐标更新城市、省份、国家/地区...";"&Atualize a cidade, a província, o país a partir das coordenadas de GPS...";"&Stadt, Provinz, Land aus GPS-Koordinaten aktualisieren...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[4];TActionManager;Caption;&Various;Divers;&Diversen;;&Varie;&Varios;其它;&Vários;&Verschiedene;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[4].Items[0];TActionManager;Caption;"&File: Date created and modified as in ...";"Fichier : Date de création et de modification selon...";"Bestand: Datum aangemaakt en gewijzigd zoals in ...";;"File: data di creazione e modifica come in ...";"Archivo: Fecha de creación y modificación según ...";"文件： Exif 中的创建和修改日期...";"Arquivo: Data de criação e modificação como no ...";"Datei: Erstellungs- und Änderungsdatum wie in ...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[4].Items[1];TActionManager;Caption;"F&ile: Name=DateTime+Name...";"Fichier : Nom=DateTime+Nom...";"B&estand: Naam=Datum Tijd+Naam...";;"F&file: Nome=DataOra+Nome...";"A&rchivo: Nombre=FechaHora+Nombre...";&文件：名称=日期时间+名称...;"F&ile: Name=DateTime+Name...";"Date&i: Name=DatumZeit+Name...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[4].Items[2];TActionManager;Caption;"&JPG:  Lossless rotate + crop...";"&JPG : Rotation sans perte + recadrage...";"&JPG:  Rotatie + bijsnijden zonder verlies...";;"&JPG: rotazione + ritaglio senza perdita...";"&JPG: Rotación sin pérdida + recorte...";&JPG：无损旋转+裁剪...;"&JPG: Rotação sem perdas + corte...";"&JPG: Verlustfreies Drehen + Zuschneiden...";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[4].Items[4];TActionManager;Caption;"&Create Hash files";"Créer des fichiers de hachage";"Hash-bestanden maken";;"Creare file hash";"Crear archivos Hash";创建哈希文件;"Criar arquivos Hash";"Hash-Dateien erstellen";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[4].Items[6];TActionManager;Caption;"S&elect left diff";"Sél&ectionner le diff gauche";"S&electeer linkse diff";;"S&elezionare il diff. Sinistro";"S&eleccione el diff izquierdo";&选择左侧差分;"S&elecionar dif esquerda";"Link&en diff auswählen";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[4].Items[7];TActionManager;Caption;"&Show diff metadata";"&Afficher les métadonnées des diff.";"&Toon diff metadata";;"&Mostra i metadati delle differenze";"&Mostrar metadatos diff";&显示差异元数据;"&Mostrar metadados de diferenças";"&Diff-metadaten anzeigen";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[5];TActionManager;Caption;&Help;&Aide;&Help;;Aiuto;&Ayuda;帮助;&Ajuda;&Hilfe;
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[5].Items[0];TActionManager;Caption;"&Online Documentation";"Documentation en ligne";"&Online Documentatie";;"Documentazione online";"&Documentación en línea";在线文档;"&Documentação on-line";"&Online Dokumentation";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[5].Items[2];TActionManager;Caption;"&Check Versions";"&Vérifier les versions";"&Controleer Versies";;"&Controllare Le Versioni";"&Comprobar versiones";检查版本;"&Verificar versões";"&Versionen Prüfen";
TFMAIN;FMain.MainActionManager.ActionBars[0].Items[5].Items[4];TActionManager;Caption;&About...;"&A propos de...";&Over...;;"&Informazioni su...";"&Acerca de...";关于...;&Sobre...;&Über...;
TFMAIN;FMain.MainActionManager.MaAbout;TAction;Caption;About...;"À propos de...";Over...;;"Informazioni su...";"Acerca de...";关于...;Sobre...;Über...;
TFMAIN;FMain.MainActionManager.MaAPIWindowsLongPath;TAction;Caption;"API WindowsLongPath (Requires Exiftool V13.03)";"API WindowsLongPath (Requiert Exiftool V13.03)";"API WindowsLongPath (Vereist Exiftool V13.03)";;"API WindowsLongPath (Richiede Exiftool V13.03)";"API WindowsLongPath (Require Exiftool V13.03)";"API WindowsLongPath（需要 Exiftool V13.03 版）";"API WindowsLongPath (Requer Exiftool V13.03)";"API WindowsLongPath (Erfordert Exiftool V13.03)";
TFMAIN;FMain.MainActionManager.MaAPIWindowsWideFile;TAction;Caption;"API WindowsWideFile (Requires Exiftool V12.66)";"API WindowsWideFile (Requiert Exiftool V12.66)";"API WindowsWideFile (Vereist Exiftool V12.66)";;"API WindowsWideFile (Richiede Exiftool V12.66)";"API WindowsWideFile (Requiere Exiftool V12.66)";"API WindowsWideFile（需要 Exiftool V12.66）(P)";"API WindowsWideFile (Requer Exiftool V12.66)";"API WindowsWideFile (Erfordert Exiftool V12.66)";
TFMAIN;FMain.MainActionManager.MaCheckVersions;TAction;Caption;"Check Versions";"Vérifier les versions";"Controleer versies";;"Controllare le versioni";"Comprobar Versiones";检查版本;"Verificar Versões";"Versionen prüfen";
TFMAIN;FMain.MainActionManager.MaCustomOptions;TAction;Caption;"Custom options";"Options personnalisées";"Maatwerk opties";;"Opzioni personalizzate";"Opciones personalizadas";自定义选项(t);"Opções personalizadas";"Benutzerdefinierte Optionen";
TFMAIN;FMain.MainActionManager.MaDontBackup;TAction;Caption;"Don't make backup files";"Ne pas créer de fichiers de sauvegarde";"Maak geen reserviekopieën";;"Non creare file di backup";"No hacer copias de seguridad";不创建备份文件(d);"Não criar arquivos de backup";"Keine Sicherungsdateien erstellen";
TFMAIN;FMain.MainActionManager.MaExifDateTimeEqualize;TAction;Caption;"Exif/Xmp: DateTime equalize...";"Exif/Xmp: DateTime égalisation...";"Exif/Xmp: DateTime gelijkmaken...";;"Exif/Xmp: DateTime equalizzazione...";"Exif/Xmp: DateTime ecualización...";"Exif/Xmp: DateTime 均衡...";"Exif/Xmp: DateTime equalização...";"Exif/Xmp: DateTime abgleichen...";
